iso3,country,hdi_2017,hdi_2019,hdi_2021
AFG,Afghanistan,0.480,0.490,0.480
AGO,Angola,0.600,0.600,0.590
ALB,Albania,0.800,0.810,0.800
AND,Andorra,0.870,0.870,0.860
ARE,United Arab Emirates,0.900,0.920,0.910
ARG,Argentina,0.850,0.850,0.840
ARM,Armenia,0.770,0.780,0.760
ATG,Antigua and Barbuda,0.800,0.800,0.790
AUS,Australia,0.940,0.940,0.950
AUT,Austria,0.920,0.920,0.920
AZE,Azerbaijan,0.750,0.760,0.750
BDI,Burundi,0.430,0.430,0.430
BEL,Belgium,0.930,0.940,0.940
BEN,Benin,0.530,0.530,0.530
BFA,Burkina Faso,0.440,0.450,0.450
BGD,Bangladesh,0.620,0.640,0.660
BGR,Bulgaria,0.810,0.810,0.800
BHR,Bahrain,0.870,0.880,0.880
BHS,Bahamas,0.830,0.820,0.810
BIH,Bosnia and Herzegovina,0.770,0.780,0.780
BLR,Belarus,0.820,0.820,0.810
BLZ,Belize,0.710,0.710,0.680
BOL,Bolivia (Plurinational State of),0.710,0.720,0.690
BRA,Brazil,0.760,0.770,0.750
BRB,Barbados,0.800,0.800,0.790
BRN,Brunei Darussalam,0.830,0.830,0.830
BTN,Bhutan,0.650,0.670,0.670
BWA,Botswana,0.720,0.720,0.690
CAF,Central African Republic,0.400,0.410,0.400
CAN,Canada,0.930,0.940,0.940
CHE,Switzerland,0.960,0.960,0.960
CHL,Chile,0.850,0.860,0.860
CHN,China,0.750,0.760,0.770
CIV,Côte d'Ivoire,0.530,0.550,0.550
CMR,Cameroon,0.570,0.580,0.580
COD,Congo (Democratic Republic of the),0.480,0.480,0.480
COG,Congo,0.580,0.570,0.570
COL,Colombia,0.760,0.770,0.750
COM,Comoros,0.550,0.560,0.560
CPV,Cabo Verde,0.680,0.680,0.660
CRI,Costa Rica,0.810,0.820,0.810
CUB,Cuba,0.780,0.790,0.760
CYP,Cyprus,0.890,0.900,0.900
CZE,Czechia,0.900,0.900,0.890
DEU,Germany,0.940,0.950,0.940
DJI,Djibouti,0.500,0.510,0.510
DMA,Dominica,0.690,0.730,0.720
DNK,Denmark,0.940,0.950,0.950
DOM,Dominican Republic,0.760,0.770,0.770
DZA,Algeria,0.740,0.750,0.750
ECU,Ecuador,0.760,0.760,0.740
EGY,Egypt,0.720,0.740,0.730
ERI,Eritrea,0.480,0.500,0.490
ESP,Spain,0.900,0.910,0.910
EST,Estonia,0.890,0.900,0.890
ETH,Ethiopia,0.480,0.500,0.500
FIN,Finland,0.930,0.940,0.940
FJI,Fiji,0.740,0.750,0.730
FRA,France,0.900,0.910,0.900
FSM,Micronesia (Federated States of),0.630,0.630,0.630
GAB,Gabon,0.710,0.710,0.710
GBR,United Kingdom,0.930,0.940,0.930
GEO,Georgia,0.800,0.810,0.800
